objectid,event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
1,ogs2026rgwo,2026-09-03 16:18:47,1.53,OGS,None,35.59483333,-95.102,0,0.495,0.495,0.5,None,Oklahoma,Notiechtown,Reviewed
2,ogs2026rgzg,2026-09-03 17:40:24,1.26,OGS,None,36.24633333,-95.22266667,0,0.4243,0.4243,0.5,None,Oklahoma,Sportsmen Acres,Reviewed
3,ogs2026rhad,2026-09-03 18:08:15,1.31,OGS,None,35.01183333,-97.64316667,7.15,0.2121,0.2121,0.3,None,Oklahoma,Dibble,Reviewed
4,ogs2026rhbm,2026-09-03 18:48:33,1.44,OGS,None,36.00516667,-96.5165,0,0.2828,0.2828,0.4,None,Oklahoma,Drumright,Reviewed
5,ogs2026rhfy,2026-09-03 21:03:49,1.55,OGS,None,35.02183333,-97.63033333,9.74,0.3536,0.3536,1.3,None,Oklahoma,Dibble,Reviewed
6,ogs2026rhkp,2026-09-03 23:24:41,1.09,OGS,None,35.03783333,-97.66133333,12.62,0.5657,0.5657,1.3,None,Oklahoma,Dibble,Reviewed
7,ogs2026rhom,2026-09-04 01:22:13,1.08,OGS,None,35.0275,-97.64683333,12.04,0.2121,0.2121,0.6,None,Oklahoma,Dibble,Reviewed
8,ogs2026rhui,2026-09-04 04:19:38,0.96,OGS,None,35.62483333,-98.03233333,6.24,0.1414,0.1414,0.2,None,Oklahoma,Calumet,Reviewed
9,ogs2026rhvd,2026-09-04 04:44:02,1.16,OGS,None,35.0165,-97.643,9.3,0.2828,0.2828,1.0,None,Oklahoma,Dibble,Reviewed
10,ogs2026rhzf,2026-09-04 06:48:04,0.77,OGS,None,35.01733333,-97.6425,9.28,0.3536,0.3536,0.9,None,Oklahoma,Dibble,Reviewed
11,ogs2026ricu,2026-09-04 08:36:54,1.03,OGS,None,35.847,-97.2,8.08,0.1414,0.1414,0.4,None,Oklahoma,Meridian,Reviewed
12,ogs2026ried,2026-09-04 09:17:00,3.29,OGS,4.328,35.01333333,-97.63633333,10.24,0.1414,0.1414,0.6,None,Oklahoma,Dibble,Reviewed
13,ogs2026rifa,2026-09-04 09:43:41,0.85,OGS,None,36.46133333,-98.75,9.44,0.2121,0.2121,0.4,None,Oklahoma,Waynoka,Reviewed
14,ogs2026rihx,2026-09-04 11:11:33,0.58,OGS,None,35.02916667,-97.643,12.36,0.2121,0.2121,0.5,None,Oklahoma,Dibble,Reviewed
15,ogs2026risb,2026-09-04 16:18:48,0.86,OGS,None,35.00983333,-97.63216667,10.25,0.3536,0.3536,1.0,None,Oklahoma,Dibble,Reviewed
16,ogs2026ritk,2026-09-04 17:00:30,0.95,OGS,None,36.4585,-96.79683333,0,0.4243,0.4243,0.5,None,Oklahoma,Ralston,Reviewed
17,ogs2026ritv,2026-09-04 17:13:19,1.54,OGS,None,34.5045,-97.208,0,0.495,0.495,0.7,None,Oklahoma,Davis,Reviewed
18,ogs2026rjbs,2026-09-04 21:11:27,1.68,OGS,None,34.71166667,-95.3015,21.11,0.2828,0.2828,1.0,None,Oklahoma,Tuskahoma,Reviewed
19,ogs2026rjyu,2026-09-05 08:51:05,1.04,OGS,None,36.484,-98.7345,9.21,0.1414,0.1414,0.3,None,Oklahoma,Waynoka,Reviewed
20,ogs2026rkuq,2026-09-05 19:53:20,1.19,OGS,None,34.984,-96.02166667,7.01,0.2828,0.2828,0.7,None,Oklahoma,Arpelar,Reviewed
21,ogs2026rlgh,2026-09-06 01:46:35,1.07,OGS,None,35.85,-97.19783333,8.78,0.0707,0.0707,0.4,None,Oklahoma,Meridian,Reviewed
22,ogs2026rlxc,2026-09-06 10:19:49,0.93,OGS,None,35.01933333,-97.647,9.1,0.4243,0.4243,1.2,None,Oklahoma,Dibble,Reviewed
23,ogs2026rqkr,2026-09-08 21:40:07,0.8,OGS,None,35.01483333,-97.709,11.17,1.4142,1.4142,3.2,None,Oklahoma,Dibble,Reviewed
24,ogs2026rqrs,2026-09-09 01:14:18,1.15,OGS,None,35.04616667,-97.93883333,9.84,0.495,0.495,1.2,None,Oklahoma,Chickasha,Reviewed
25,ogs2026rrun,2026-09-09 15:47:08,1.24,OGS,None,36.623,-95.0435,0,0.6364,0.6364,0.6,None,Oklahoma,Cleora,Reviewed
26,ogs2026rruz,2026-09-09 16:00:55,1.69,OGS,None,35.80166667,-95.03666667,0,0.495,0.495,0.5,None,Oklahoma,Zeb,Reviewed
27,ogs2026rryb,2026-09-09 17:34:47,1.47,OGS,None,35.6005,-95.0815,0,0.3536,0.3536,0.5,None,Oklahoma,Notiechtown,Reviewed
28,ogs2026rsgn,2026-09-09 21:51:22,1.01,OGS,None,34.49933333,-97.29,0,0.495,0.495,0.7,None,Oklahoma,Katie,Reviewed
29,ogs2026rsnh,2026-09-10 01:15:57,2.37,OGS,None,35.941,-97.881,4.73,0.0707,0.0707,0.3,None,Oklahoma,Dover,Reviewed
30,ogs2026rtak,2026-09-10 07:53:33,2.2,OGS,None,35.94316667,-97.8785,5.31,0.1414,0.1414,0.3,None,Oklahoma,Dover,Reviewed
